RouteId,RouteNo,RouteName,Type,Distance_m,OperationTime,NumOfSeats,TimeOfTrip_min,Headway_min,Orgs,Tickets
1,01,Ga Ba Son - Bến xe buýt Chợ Lớn,Phổ thông - Có trợ giá,9620.0,05:00 - 22:00,40,40,8 - 20,"Công ty Cổ phần Xe khách Phương Trang FutaBusLines, ĐT: 1900638494 | ","<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá: 5,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá HSSV: 3,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé tập: 112,500 VNĐ"
178,127,An Thới Đông - Ngã ba Bà Xán,Phổ thông - Có trợ giá,18000.0,05:00 - 20:00,30,40,8 - 30,"Công ty TNHH Dịch vụ Vận tải sinh thái Vinbus, ĐT: 1900 866 663 | ","<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá: 6,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá HSSV: 3,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé miễn: 0 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé tập: 135,000 VNĐ"
345,155,Ga Bến Thành (Cổng 1) - Bến Vân Đồn - Ga Nhà hát Thành phố,Phổ thông - Có trợ giá,6400.0,05:00 - 22:00,30,30,15 - 30,"Công ty Cổ phần Xe khách Phương Trang FutaBusLines, ĐT: 1900638494 | ","<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá: 5,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt trợ giá HSSV: 3,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé miễn: 0 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé tập: 112,500 VNĐ"
404,172,Bến xe Vũng Tàu - Trung tâm hành chính Bà Rịa Vũng Tàu -  Bến Thành,Phổ thông - Không trợ giá,97000.0,04:00 - 21:30,40,180 - 210,15 - 45,"Công ty Cổ phần Xe khách Phương Trang FutaBusLines, ĐT: 1900638494 | ","<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt không trợ giá: 110,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt không trợ giá: 35,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt không trợ giá: 50,000 VNĐ<br/>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp- Vé lượt không trợ giá: 80,000 VNĐ"
384,MRT1,Bến Thành - Suối Tiên,Phổ thông - Có trợ giá,18821.0,05:00 - 22:00,930,29,15,Công ty TNHH MTV Đường sắt đô thị số 1 | ,
